date_from,date_to,country_code,destination_country,count
2022-02-14,2022-02-20,123,FIN,12084
2022-02-14,2022-02-20,124,FRA,11051
2022-02-14,2022-02-20,125,CZE,9615
2022-02-14,2022-02-20,126,CHE,2907
2022-02-14,2022-02-20,127,SWE,9134
2022-02-14,2022-02-20,159,KAZ,671791
2022-02-14,2022-02-20,167,AZE,17495
2022-02-14,2022-02-20,168,ARM,24449
2022-02-14,2022-02-20,169,GEO,16579
2022-02-14,2022-02-20,171,UZB,78494
2022-02-14,2022-02-20,179,EST,8785
2022-02-14,2022-02-20,180,SRB,9807
2022-02-14,2022-02-20,181,ISR,15764
2022-02-14,2022-02-20,204,ESP,13936
2022-02-14,2022-02-20,205,ITA,8235
2022-02-14,2022-02-20,206,LVA,11126
2022-02-14,2022-02-20,207,KGZ,70861
2022-02-14,2022-02-20,209,TJK,67709
2022-02-14,2022-02-20,210,ARE,17394
2022-02-14,2022-02-20,211,AUS,1448
2022-02-14,2022-02-20,246,GRC,5245
2022-02-14,2022-02-20,983,TUR,53645
2022-02-14,2022-02-20,994,IND,4477
2022-02-14,2022-02-20,995,THA,23691
2022-02-14,2022-02-20,1056,EGY,18319
2022-02-14,2022-02-20,10074,PRT,1579
2022-02-14,2022-02-20,10077,ROU,3996
2022-02-14,2022-02-20,10083,HRV,2722
2022-02-14,2022-02-20,20574,CYP,5317
2022-02-14,2022-02-20,21610,MNE,3128
2022-02-21,2022-02-27,84,USA,29846
2022-02-21,2022-02-27,95,CAN,3836
2022-02-21,2022-02-27,96,DEU,42664
2022-02-21,2022-02-27,102,GBR,11577
2022-02-21,2022-02-27,113,AUT,4392
2022-02-21,2022-02-27,114,BEL,3074
2022-02-21,2022-02-27,115,BGR,12090
2022-02-21,2022-02-27,116,HUN,9866
2022-02-21,2022-02-27,117,LTU,7967
2022-02-21,2022-02-27,118,NLD,7456
2022-02-21,2022-02-27,119,NOR,2810
2022-02-21,2022-02-27,120,POL,23499
2022-02-21,2022-02-27,121,SVK,2246
2022-02-21,2022-02-27,122,SVN,1887
2022-02-21,2022-02-27,123,FIN,13830
2022-02-21,2022-02-27,124,FRA,13231
2022-02-21,2022-02-27,125,CZE,11233
2022-02-21,2022-02-27,126,CHE,3457
2022-02-21,2022-02-27,127,SWE,7068
2022-02-21,2022-02-27,159,KAZ,642565
2022-02-21,2022-02-27,167,AZE,17973
2022-02-21,2022-02-27,168,ARM,26519
2022-02-21,2022-02-27,169,GEO,17864
2022-02-21,2022-02-27,171,UZB,75562
2022-02-21,2022-02-27,179,EST,8752
2022-02-21,2022-02-27,180,SRB,9493
2022-02-21,2022-02-27,181,ISR,16191
2022-02-21,2022-02-27,204,ESP,18055
2022-02-21,2022-02-27,205,ITA,11125
2022-02-21,2022-02-27,206,LVA,11183
2022-02-21,2022-02-27,207,KGZ,64278
2022-02-21,2022-02-27,209,TJK,64507
2022-02-21,2022-02-27,210,ARE,22991
2022-02-21,2022-02-27,211,AUS,1496
2022-02-21,2022-02-27,246,GRC,6245
2022-02-21,2022-02-27,983,TUR,63850
2022-02-21,2022-02-27,994,IND,6082
2022-02-21,2022-02-27,995,THA,23928
2022-02-21,2022-02-27,1056,EGY,25202
2022-02-21,2022-02-27,10074,PRT,2352
2022-02-21,2022-02-27,10077,ROU,3618
2022-02-21,2022-02-27,10083,HRV,2978
2022-02-21,2022-02-27,20574,CYP,7164
2022-02-21,2022-02-27,21610,MNE,3626
2022-02-28,2022-03-06,84,USA,52879
2022-02-28,2022-03-06,95,CAN,5338
2022-02-28,2022-03-06,96,DEU,63611
2022-02-28,2022-03-06,102,GBR,15490
2022-02-28,2022-03-06,113,AUT,4998
2022-02-28,2022-03-06,114,BEL,3835
2022-02-28,2022-03-06,115,BGR,10613
2022-02-28,2022-03-06,116,HUN,8978
2022-02-28,2022-03-06,117,LTU,8809
2022-02-28,2022-03-06,118,NLD,11962
2022-02-28,2022-03-06,119,NOR,4938
2022-02-28,2022-03-06,120,POL,29295
2022-02-28,2022-03-06,121,SVK,2305
2022-02-28,2022-03-06,122,SVN,1615
2022-02-28,2022-03-06,123,FIN,15781
2022-02-28,2022-03-06,124,FRA,20666
2022-02-28,2022-03-06,125,CZE,11613
2022-02-28,2022-03-06,126,CHE,5088
2022-02-28,2022-03-06,127,SWE,8569
2022-02-28,2022-03-06,159,KAZ,626460
2022-02-28,2022-03-06,167,AZE,23921
2022-02-28,2022-03-06,168,ARM,38821
2022-02-28,2022-03-06,169,GEO,23391
2022-02-28,2022-03-06,171,UZB,83602
2022-02-28,2022-03-06,179,EST,9879
2022-02-28,2022-03-06,180,SRB,8639
2022-02-28,2022-03-06,181,ISR,20594
2022-02-28,2022-03-06,204,ESP,21875
2022-02-28,2022-03-06,205,ITA,14074
2022-02-28,2022-03-06,206,LVA,13544
2022-02-28,2022-03-06,207,KGZ,72073
2022-02-28,2022-03-06,209,TJK,67596
2022-02-28,2022-03-06,210,ARE,28958
2022-02-28,2022-03-06,211,AUS,1716
2022-02-28,2022-03-06,246,GRC,5758
2022-02-28,2022-03-06,983,TUR,73079
2022-02-28,2022-03-06,994,IND,5996
2022-02-28,2022-03-06,995,THA,27417
2022-02-28,2022-03-06,1056,EGY,31741
2022-02-28,2022-03-06,10074,PRT,2585
2022-02-28,2022-03-06,10077,ROU,3906
2022-02-28,2022-03-06,10083,HRV,2150
2022-02-28,2022-03-06,20574,CYP,9868
2022-02-28,2022-03-06,21610,MNE,4338
2022-03-07,2022-03-13,84,USA,42237
2022-03-07,2022-03-13,95,CAN,5578
2022-03-07,2022-03-13,96,DEU,52559
2022-03-07,2022-03-13,102,GBR,13932
2022-03-07,2022-03-13,113,AUT,4878
2022-03-07,2022-03-13,114,BEL,3354
2022-03-07,2022-03-13,115,BGR,9007
2022-03-07,2022-03-13,116,HUN,4764
2022-03-07,2022-03-13,117,LTU,9432
2022-03-07,2022-03-13,118,NLD,11246
2022-03-07,2022-03-13,119,NOR,3812
2022-03-07,2022-03-13,120,POL,29752
2022-03-07,2022-03-13,121,SVK,2003
2022-03-07,2022-03-13,122,SVN,1322
